Partner Country,Reporting Country,Segment,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Algeria,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,998",477,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Egypt,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,South Africa,Cut Size,301,301,303,301,299,308,295,293,335,258,288,461,24,378,981,"1,162","2,229","1,419","6,231","3,285","1,964","2,712","2,113","2,375","2,048",540,451.2,"1,013",668,711,797,725,744,756,742,747,748,746,747,747,747,747,747,747,747,747,747,747,747,747,747
Angola,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,55,0,0,0,31,8,15,16,0,0,5,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Angola,South Africa,Reels,9,9,8,9,9,8,9,8,8,10,8,6,17,0,0,299,0,116,2,29,2,10,4,12,18,4,0,7,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Angola,Morocco,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,South Africa,Cut Size,42,41,42,42,41,43,41,38,49,37,28,83,0,0,249,401,854,"1,048","2,659","1,649","1,676","1,476","1,158",900,"1,139",420,381.6,647,483,504,544,510,520,525,518,521,521,520,521,521,521,521,521,521,521,521,521,521,521,521,521
Benin,South Africa,Folio,99,99,99,99,99,99,98,102,98,93,115,86,78,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,213,100,500,"1,750",100,0,0,33,11,15,20,15,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Benin,Morocco,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Morocco,Reels,148,149,149,147,149,150,142,156,154,115,198,148,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Kenya,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,South Africa,Cut Size,375,374,377,375,371,384,369,360,424,323,331,618,20,356,"1,479","2,248","3,681","2,157","5,936","3,865","2,490","3,272","2,085","3,087","1,295",100,288,561,316,388,422,376,395,398,389,394,394,392,393,393,393,393,393,393,393,393,393,393,393,393,393
Cameroon,South Africa,Folio,26,26,26,26,26,26,26,26,25,27,27,20,35,25,0,0,76,0,0,72,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,South Africa,Reels,"1,312","1,313","1,306","1,317","1,315","1,286","1,351","1,307","1,200","1,547","1,174",880,"2,586",55,0,716,708,"1,134",246,"1,257",875,120,0,0,52,0,0,17,6,8,10,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Cameroon,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,South Africa,Folio,8,8,8,8,8,8,8,8,8,6,11,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
